Counties,Outage_Tracker,Link,NOAA
Alachua,290,https://poweroutage.us/area/county/290,https://forecast.weather.gov/MapClick.php?lat=29.7779&lon=-82.4827
Baker,291,https://poweroutage.us/area/county/291,https://forecast.weather.gov/MapClick.php?lat=30.3311&lon=-82.2846
Bay,292,https://poweroutage.us/area/county/292,https://forecast.weather.gov/MapClick.php?lat=30.2377&lon=-85.6325
Bradford,293,https://poweroutage.us/area/county/293,https://forecast.weather.gov/MapClick.php?lat=29.95&lon=-82.1688
Brevard,294,https://poweroutage.us/area/county/294,https://forecast.weather.gov/MapClick.php?lat=28.3004&lon=-80.7012
Broward,295,https://poweroutage.us/area/county/295,https://forecast.weather.gov/MapClick.php?lat=26.1519&lon=-80.4558
Calhoun,2343,https://poweroutage.us/area/county/2343,https://forecast.weather.gov/MapClick.php?lat=30.4061&lon=-85.1972
Charlotte,296,https://poweroutage.us/area/county/296,https://forecast.weather.gov/MapClick.php?lat=26.8998&lon=-81.9503
Citrus,297,https://poweroutage.us/area/county/297,https://forecast.weather.gov/MapClick.php?lat=28.8496&lon=-82.5251
Clay,298,https://poweroutage.us/area/county/298,https://forecast.weather.gov/MapClick.php?lat=29.9831&lon=-81.8578
Collier,299,https://poweroutage.us/area/county/299,https://forecast.weather.gov/MapClick.php?lat=26.1012&lon=-81.3792
Columbia,300,https://poweroutage.us/area/county/300,https://forecast.weather.gov/MapClick.php?lat=30.2243&lon=-82.6215
DeSoto,2340,https://poweroutage.us/area/county/2340,https://forecast.weather.gov/MapClick.php?lat=27.1863&lon=-81.8094
Dixie,302,https://poweroutage.us/area/county/302,https://forecast.weather.gov/MapClick.php?lat=29.5813&lon=-83.187
Duval,303,https://poweroutage.us/area/county/303,https://forecast.weather.gov/MapClick.php?lat=30.3355&lon=-81.648
Escambia,2272,https://poweroutage.us/area/county/2272,https://forecast.weather.gov/MapClick.php?lat=30.6146&lon=-87.3416
Flagler,304,https://poweroutage.us/area/county/304,https://forecast.weather.gov/MapClick.php?lat=29.4711&lon=-81.293
Franklin,305,https://poweroutage.us/area/county/305,https://forecast.weather.gov/MapClick.php?lat=29.8125&lon=-84.7981
Gadsden,306,https://poweroutage.us/area/county/306,https://forecast.weather.gov/MapClick.php?lat=30.5795&lon=-84.6136
Gilchrist,307,https://poweroutage.us/area/county/307,https://forecast.weather.gov/MapClick.php?lat=29.7259&lon=-82.8003
Glades,308,https://poweroutage.us/area/county/308,https://forecast.weather.gov/MapClick.php?lat=26.9564&lon=-81.189
Gulf,309,https://poweroutage.us/area/county/309,https://forecast.weather.gov/MapClick.php?lat=29.9086&lon=-85.261
Hamilton,310,https://poweroutage.us/area/county/310,https://forecast.weather.gov/MapClick.php?lat=30.4964&lon=-82.9479
Hardee,311,https://poweroutage.us/area/county/311,https://forecast.weather.gov/MapClick.php?lat=27.4927&lon=-81.81
Hendry,312,https://poweroutage.us/area/county/312,https://forecast.weather.gov/MapClick.php?lat=26.5534&lon=-81.1659
Hernando,313,https://poweroutage.us/area/county/313,https://forecast.weather.gov/MapClick.php?lat=28.5562&lon=-82.4685
Highlands,314,https://poweroutage.us/area/county/314,https://forecast.weather.gov/MapClick.php?lat=27.3433&lon=-81.3409
Hillsborough,315,https://poweroutage.us/area/county/315,https://forecast.weather.gov/MapClick.php?lat=27.9049&lon=-82.3484
Holmes,2273,https://poweroutage.us/area/county/2273,https://forecast.weather.gov/MapClick.php?lat=30.8679&lon=-85.8142
Indian River,316,https://poweroutage.us/area/county/316,https://forecast.weather.gov/MapClick.php?lat=27.6964&lon=-80.5741
Jackson,2274,https://poweroutage.us/area/county/2274,https://forecast.weather.gov/MapClick.php?lat=30.7954&lon=-85.2155
Jefferson,317,https://poweroutage.us/area/county/317,https://forecast.weather.gov/MapClick.php?lat=30.4234&lon=-83.9004
Lafayette,318,https://poweroutage.us/area/county/318,https://forecast.weather.gov/MapClick.php?lat=29.9855&lon=-83.1812
Lake,319,https://poweroutage.us/area/county/319,https://forecast.weather.gov/MapClick.php?lat=28.7615&lon=-81.7113
Lee,320,https://poweroutage.us/area/county/320,https://forecast.weather.gov/MapClick.php?lat=26.5757&lon=-81.9155
Leon,321,https://poweroutage.us/area/county/321,https://forecast.weather.gov/MapClick.php?lat=30.4581&lon=-84.2777
Levy,322,https://poweroutage.us/area/county/322,https://forecast.weather.gov/MapClick.php?lat=29.2852&lon=-82.7884
Liberty,323,https://poweroutage.us/area/county/323,https://forecast.weather.gov/MapClick.php?lat=30.2414&lon=-84.8829
Madison,324,https://poweroutage.us/area/county/324,https://forecast.weather.gov/MapClick.php?lat=30.4442&lon=-83.4701
Manatee,325,https://poweroutage.us/area/county/325,https://forecast.weather.gov/MapClick.php?lat=27.4775&lon=-82.3575
Marion,326,https://poweroutage.us/area/county/326,https://forecast.weather.gov/MapClick.php?lat=29.2102&lon=-82.0567
Martin,327,https://poweroutage.us/area/county/327,https://forecast.weather.gov/MapClick.php?lat=27.0816&lon=-80.3985
Miami-Dade,328,https://poweroutage.us/area/county/328,https://forecast.weather.gov/MapClick.php?lat=25.609&lon=-80.4986                                       
Monroe,329,https://poweroutage.us/area/county/329,https://forecast.weather.gov/MapClick.php?lat=25.1357&lon=-81.5196
Nassau,330,https://poweroutage.us/area/county/330,https://forecast.weather.gov/MapClick.php?lat=30.6106&lon=-81.7715
Okaloosa,2275,https://poweroutage.us/area/county/2275,https://forecast.weather.gov/MapClick.php?lat=30.665&lon=-86.5922
Okeechobee,331,https://poweroutage.us/area/county/331,https://forecast.weather.gov/MapClick.php?lat=27.239&lon=-80.8287
Orange,332,https://poweroutage.us/area/county/332,https://forecast.weather.gov/MapClick.php?lat=28.5144&lon=-81.3235
Osceola,333,https://poweroutage.us/area/county/333,https://forecast.weather.gov/MapClick.php?lat=28.0626&lon=-81.1495
Palm Beach,334,https://poweroutage.us/area/county/334,https://forecast.weather.gov/MapClick.php?lat=26.6476&lon=-80.4365
Pasco,335,https://poweroutage.us/area/county/335,https://forecast.weather.gov/MapClick.php?lat=28.3067&lon=-82.4389
Pinellas,336,https://poweroutage.us/area/county/336,https://forecast.weather.gov/MapClick.php?lat=27.9054&lon=-82.7408
Polk,337,https://poweroutage.us/area/county/337,https://forecast.weather.gov/MapClick.php?lat=27.9489&lon=-81.6977
Putnam,338,https://poweroutage.us/area/county/338,https://forecast.weather.gov/MapClick.php?lat=29.6087&lon=-81.7443
Santa Rosa,2276,https://poweroutage.us/area/county/2276,https://forecast.weather.gov/MapClick.php?lat=30.6928&lon=-87.0183
Sarasota,339,https://poweroutage.us/area/county/339,https://forecast.weather.gov/MapClick.php?lat=27.1825&lon=-82.365
Seminole,340,https://poweroutage.us/area/county/340,https://forecast.weather.gov/MapClick.php?lat=28.717&lon=-81.2364
St. Johns,2317,https://poweroutage.us/area/county/2317,https://forecast.weather.gov/MapClick.php?lat=29.9122&lon=-81.4099
St. Lucie,342,https://poweroutage.us/area/county/342,https://forecast.weather.gov/MapClick.php?lat=27.3809&lon=-80.4456
Sumter,343,https://poweroutage.us/area/county/343,https://forecast.weather.gov/MapClick.php?lat=28.7048&lon=-82.081
Suwannee,344,https://poweroutage.us/area/county/344,https://forecast.weather.gov/MapClick.php?lat=30.1956&lon=-82.9915
Taylor,345,https://poweroutage.us/area/county/345,https://forecast.weather.gov/MapClick.php?lat=30.0196&lon=-83.619
Union,346,https://poweroutage.us/area/county/346,https://forecast.weather.gov/MapClick.php?lat=30.0439&lon=-82.3714
Volusia,348,https://poweroutage.us/area/county/348,https://forecast.weather.gov/MapClick.php?lat=29.0635&lon=-81.1485
Wakulla,349,https://poweroutage.us/area/county/349,https://forecast.weather.gov/MapClick.php?lat=30.1491&lon=-84.3757
Walton,2277,https://poweroutage.us/area/county/2277,https://forecast.weather.gov/MapClick.php?lat=30.6188&lon=-86.1715
Washington,2278,https://poweroutage.us/area/county/2278,https://forecast.weather.gov/MapClick.php?lat=30.6106&lon=-85.6654
